account,issue_count,n-projects
glassfishrobot,56400,125.0
k8s-ci-robot,52160,76.0
brotherlogic,37635,139.0
fejta-bot,34736,224.0
gopherbot,27453,11.0
fire-bot,15794,336.0
DartBot,15148,42.0
cf-gitbot,15123,1048.0
vaadin-bot,12107,7.0
element-bot,11057,4.0
swift-ci,10364,17.0
openshift-bot,9660,372.0
0crat,9530,130.0
google-oss-bot,9246,30.0
ant-design-bot,8516,10.0
msft-github-bot,7485,22.0
gitcoinbot,6893,1670.0
rultor,6196,585.0
babel-bot,5641,17.0
react-native-bot,5164,2.0
pyup-bot,4331,3769.0
istio-policy-bot,4234,5.0
vue-bot,3543,11.0
hashibot,3238,63.0
miq-bot,3114,72.0
webpack-bot,3008,40.0
spinnakerbot,3006,5.0
facebook-github-bot,2804,52.0
tekton-robot,2588,17.0
che-bot,2497,4.0
sailsbot,2386,13.0
kubevirt-bot,2310,54.0
knative-test-reporter-robot,2263,6.0
timsuchanek,2255,184.0
knative-prow-robot,2214,57.0
ArduinoBot,2116,18.0
IssueHuntBot,1845,323.0
jekyllbot,1687,26.0
az-iot-builder-01,1681,7.0
GordonTheTurtle,1624,8.0
ks-ci-bot,1433,21.0
jetstack-bot,1251,20.0
eslintbot,1243,2.0
gitmate-bot,1120,28.0
hft-team-city,1052,18.0
matticbot,1047,16.0
adobe-bot,873,52.0
pirate-bot,866,19.0
istio-testing,856,7.0
kyma-bot,848,30.0
renovate-bot,755,93.0
ng-zorro-bot,747,1.0
OCA-git-bot,730,191.0
ualbertalib-bot,701,6.0
balena-ci,684,111.0
yarnbot,667,2.0
egg-bot,664,2.0
theopenlab-ci,640,2.0
rails-bot,630,8.0
tessel-crashbot,628,1.0
knative-housekeeping-robot,598,10.0
homeassistant,598,16.0
neos-bot,575,10.0
atomist-bot,573,57.0
macaca-bot,552,21.0
codecov,510,63.0
sourcegraph-bot,465,12.0
nativescript-vue-bot,463,2.0
RealmBot,461,6.0
shaka-bot,456,4.0
fluttergithubbot,420,3.0
ibmdotcom-bot,384,2.0
google-oss-robot,380,23.0
metal3-io-bot,370,17.0
retest-bot,366,3.0
mods-bot,366,1.0
Google-Autofuzz,348,146.0
stencila-ci,333,11.0
pouchrobot,324,7.0
octokitbot,288,22.0
wallabag-bot,287,1.0
nfbot,272,1.0
assemblebot,269,27.0
usercont-release-bot,253,9.0
vscodebot,244,33.0
qiwibot,241,32.0
dictybasebot,230,12.0
mybit-bot,223,13.0
aio-libs-bot,219,9.0
palashmon,217,59.0
cmsdmwmbot,208,2.0
pull-bot,207,1.0
infinitered-circleci,198,14.0
semantic-release-bot,186,23.0
seabird-bot,186,9.0
SegmentDestinationsBot,181,24.0
travi-bot,172,34.0
greenkeeper,169,79.0
welcome,168,63.0
dhis2-bot,164,29.0
akka-ci,162,1.0
netoffice-bot,160,1.0
vis-bot,155,7.0
lock,138,91.0
react-native-community-bot,137,8.0
soloio-bot,132,3.0
jw-issue-bot,132,2.0
stoplight-bot,124,10.0
caicloud-bot,120,14.0
antv-bot,119,3.0
QacoBot,117,1.0
ApiaryBot,106,5.0
bors,101,40.0
nockbot,99,2.0
styleguidist-bot,96,1.0
cozy-bot,90,4.0
z-docker-bot,88,2.0
owo-bot,85,8.0
form8ion-bot,85,33.0
googlebot,83,60.0
ExtendReality-Bot,83,21.0
PWAStudioBot,82,5.0
karmarunnerbot,76,9.0
tedium-bot,73,4.0
coveralls,66,34.0
mike-north-bot,64,35.0
status-im-auto,64,2.0
acs-bot,60,3.0
openshift-azure-robot,57,1.0
HT2Bot,56,16.0
ross-bott,56,2.0
greenkeeperio-bot,55,43.0
oclif-bot,52,13.0
coreosbot,47,3.0
gain-bot,47,12.0
fabric8cd,46,4.0
dsmjs-bot,40,8.0
nodejs-github-bot,40,18.0
robotccm,40,2.0
snyk-bot,37,31.0
codeclimate,35,28.0
bors-homu,35,4.0
thelinuxfoundation,34,17.0
nCodefresh,31,3.0
MidLevel-Bot,27,2.0
CLAassistant,24,19.0
pydio-bot,24,1.0
idealbot,23,10.0
dependencies,20,19.0
whateverbot,20,1.0
dpebot,20,12.0
lintr-bot,19,12.0
codesandbox,19,15.0
codecov-io,18,14.0
salte-bot,18,3.0
smartcar-ci,18,8.0
wmfs-bot,15,14.0
mesosphere-frontend-ci,15,4.0
backpackbot,14,1.0
dnfclas,13,11.0
mention-bot,12,10.0
commitizen-bot,11,2.0
traverson-bot,11,5.0
stickler-ci,11,8.0
moltinbot,10,1.0
5iMON-bot,10,8.0
nemobot,10,3.0
the-knights-who-say-ni,10,5.0
livingdocs-automation,9,6.0
AutorestCI,9,3.0
testcafe-build-bot,8,1.0
engine-flutter-autoroll,8,1.0
cla-bot,7,6.0
helpfulrobot,7,4.0
pfn-ci-bot,7,3.0
rh-atomic-bot,7,5.0
gitpod-io,7,6.0
omnius-bot,6,6.0
tld-update-bot,6,1.0
zaripych-bot,6,2.0
ompiteam-bot,6,2.0
moonwalker-bot,6,3.0
kie-ci,6,4.0
tessel-bot,5,1.0
devOpsHazelcast,5,2.0
slnode,5,4.0
hn-bot,5,1.0
astropy-bot,5,3.0
edx-requirements-bot,5,1.0
prombot,5,5.0
lighthousebot,5,4.0
tensorflow-graphics-github-robot,5,1.0
hasura-bot,5,1.0
dotnet-maestro-bot,5,3.0
jquerybot,5,3.0
octokit-fixture-user-a,5,5.0
hubotbot,4,2.0
symfony-bot,4,3.0
getsentry-bot,4,3.0
alluxio-bot,4,2.0
ddes-ci,4,1.0
immowelt-ci,4,3.0
leocwlam,3,2.0
cfdreddbot,3,2.0
AppVeyorBot,3,2.0
mister-roboto,3,3.0
ursabot,3,2.0
elasticsearch-bot,3,3.0
dlang-bot,3,2.0
agones-bot,3,1.0
smartive-ci,3,3.0
scrutinizer-auto-fixer,3,3.0
SendGridDX,3,3.0
stakater-user,2,2.0
jsf-clabot,2,1.0
gaugebot,2,2.0
blueprint-bot,2,1.0
sofastack-bot,2,1.0
issue-bot,2,1.0
jwplayer-robot,2,2.0
pdfjsbot,2,1.0
glotbot,2,2.0
bundlerbot,2,2.0
botcerts,2,2.0
logic-building,2,1.0
apollo-cla,2,2.0
skia-flutter-autoroll,2,1.0
yahoocla,2,2.0
PRB0t,2,1.0
jnpr-community-netdev,1,1.0
scrutinizer-notifier,1,1.0
pivotal-issuemaster,1,1.0
travix-frontend-services,1,1.0
vmwclabot,1,1.0
etcd-bot,1,1.0
p1bot,1,1.0
violinist-bot,1,1.0
SupportClass-bot,1,1.0
Rozebot,1,1.0
openshift-cherrypick-robot,1,1.0
lonabot,1,1.0
dxrobot,1,1.0
khanbot,1,1.0
Staffbot,1,1.0
azuresdkciprbot,1,1.0
optibot,1,1.0
salesforce-ux-bot,1,1.0
glide-copybara-robot,1,1.0
reactorbot,1,1.0
sizebot,1,1.0
bugsnagbot,1,1.0
docusaurus-bot,1,1.0
edx-transifex-bot,1,1.0
mender-test-bot,1,1.0
janusgraph-bot,1,1.0
ucloud-bot,1,1.0
restyled-io,1,1.0
hashicorp-cla,1,1.0
vc-ci,1,1.0
aws-cdk-automation,1,1.0
jujugui,1,1.0
GitCop,1,1.0
ezrobot,0,0.0
Hibernate-CI,0,0.0
sous-machine-account,0,0.0
ScreensBot,0,0.0
oca-clabot,0,0.0
kiereleaseuser,0,0.0
genie-jnosql,0,0.0
ukp-svc-jenkins,0,0.0
ef-carbon-bot,0,0.0
svc-excavator-bot,0,0.0
Johns-CI-Bot,0,0.0
react-tether-bot,0,0.0
grape-bot,0,0.0
ForbesLindesay-Bot,0,0.0
mysql-oca-bot,0,0.0
netty-bot,0,0.0
omnisharp-bot,0,0.0
avaGitHubBot,0,0.0
mongoid-bot,0,0.0
gocardless-robot-restricted,0,0.0
kissaten-bot,0,0.0
windupgithubbot1,0,0.0
cb-sdk-robot,0,0.0
sgopsbot,0,0.0
forge-bot,0,0.0
eclipse-lsp4j-bot,0,0.0
doorkeeper-bot,0,0.0
TDSBot,0,0.0
devicekit-danger-bot,0,0.0
OdysseusBot,0,0.0
TPRobots,0,0.0
knative-metrics-robot,0,0.0
uias-bot,0,0.0
fn-bot,0,0.0
watermarkchurch-bot,0,0.0
pluscodebot,0,0.0
raizlabs-oss-bot,0,0.0
jujubot,0,0.0
RiotTranslateBot,0,0.0
brototyp-bot,0,0.0
AgoricBot,0,0.0
NuKeeperBot,0,0.0
coorpacademybot,0,0.0
theforeman-bot,0,0.0
sisu-bot,0,0.0
FeedjiraBot,0,0.0
michaelhsu-bot,0,0.0
toptal-bot,0,0.0
jbosstm-bot,0,0.0
tm-github-bot,0,0.0
eclipse-milo-bot,0,0.0
capistrano-bot,0,0.0
dangerpr-bot,0,0.0
OpenCombineBot,0,0.0
workbox-pr-bot,0,0.0
allthings-bot,0,0.0
MagicMirrorBot,0,0.0
dingwilsonbot,0,0.0
ticobotbot,0,0.0
thumbot,0,0.0
algoliareadmebot,0,0.0
rktbot,0,0.0
hpcugentbot,0,0.0
xamarin-cla-bot,0,0.0
bsn-bot3,0,0.0
pantheon-ci-bot,0,0.0
UberOpenSourceBot,0,0.0
omex-github-bot-internal,0,0.0
dialog-bot,0,0.0
LottieSnapshotBot,0,0.0
truecar-cla-bot,0,0.0
kubermatic-triage-bot,0,0.0
cloudwanbot,0,0.0
flinkbot,0,0.0
mui-pr-bot,0,0.0
trax-robot,0,0.0
submariner-bot,0,0.0
DustyTheBot,0,0.0
syndesisio-bot,0,0.0
Favware-bot,0,0.0
ngrxbot,0,0.0
airbnb-bot,0,0.0
swift-server-bot,0,0.0
explosion-bot,0,0.0
callstack-bot,0,0.0
kubevirt-commenter-bot,0,0.0
sagemaker-bot,0,0.0
StepFunctions-Bot,0,0.0
graalvmbot,0,0.0
yarpcbot,0,0.0
aporeto-bot,0,0.0
INGIbot,0,0.0
skydive-bot,0,0.0
hoppipolla-critic-bot,0,0.0
mattsb42-bot,0,0.0
suchabot,0,0.0
change-bot,0,0.0
claassistantio,0,0.0
sentry-io,0,0.0
codelingo,0,0.0
salesforce-cla,0,0.0
lightbend-cla-validator,0,0.0
kogmbh-ci,0,0.0
thorntail-ci,0,0.0
stripe-ci,0,0.0
wildfly-ci,0,0.0
contiamo-ci,0,0.0
io-scalecube-ci,0,0.0
appserver-ci,0,0.0
react-navigation-ci,0,0.0
flexera-ci,0,0.0
calabash-ci,0,0.0
atticlabs-ci,0,0.0
chainer-ci,0,0.0
build-travis-ci,0,0.0
shiftjs-circleci,0,0.0
jdroid-ci,0,0.0
asf-ci,0,0.0
aws-sdk-go-automation,0,0.0
bors-libra,0,0.0
buildhive,0,0.0
openstack-gerrit,0,0.0
CocoaPodsBarista,0,0.0
ovh-cds,0,0.0
boxcla,0,0.0
renovate,0,0.0
mfehr94,0,0.0
dependabot-preview,0,0.0
stale,0,0.0
resin-io-modules-versionbot,0,0.0
manifold-listbot,0,0.0
matzkoh,0,0.0
old-fusion-bot,0,0.0
aviary2-wf,0,0.0
CFPBot,0,0.0
ININ-TransifexAutomation,0,0.0
gatsbot,0,0.0
WeTransferOSSBot,0,0.0
bors-servo,0,0.0
depfu,0,0.0
watson-github-bot,0,0.0
openshift-ci-robot,0,0.0
datastax-bot,0,0.0
deepcode-ci-bot,0,0.0
algolia-api-client-bot,0,0.0
resin-io-versionbot,0,0.0
ConfluentCLABot,0,0.0
lucas-bot,0,0.0
zcabot,0,0.0
yii-bot,0,0.0
doppins-bot,0,0.0
dep-bot,0,0.0
sourcelevel-bot,0,0.0
symfony-skeleton-bot,0,0.0
hawkbit-bot,0,0.0
monty-bot,0,0.0
xcoderobot,0,0.0
electron-bot,0,0.0
parity-cla-bot,0,0.0
angular-automatic-lock-bot,0,0.0
probot-shopify,0,0.0
go-cloud-bot,0,0.0
msftbot,0,0.0
changeset-bot,0,0.0
ApplozicBot,0,0.0
gpii-bot,0,0.0
upbound-bot,0,0.0
landscape-bot,0,0.0
voidraybot,0,0.0
conventional-release-bot,0,0.0
dry-python-bot,0,0.0
realm-probot,0,0.0
generic-probot-app-workflow,0,0.0
GK-keeper-bot,0,0.0
fozzie-bot,0,0.0
dependabot,0,0.0
eclipse-jaxb-impl-bot,0,0.0
kubermatic-bot,0,0.0
ladybugbot,0,0.0
mainio-integration-bot,0,0.0
solo-git-bot,0,0.0
reakit-bot,0,0.0
bens-danger-bot,0,0.0
webhookbotuser,0,0.0
runnabot,0,0.0
concourse-bot,0,0.0
garvisbot-tianhaoz,0,0.0
garvisbot,0,0.0
amp-owners-bot,0,0.0
